predictor,rezago_dias,correlacion_con_defunciones
casos_confirmados,0,0.5148
hospitalizaciones,0,0.9866
casos_confirmados,1,0.5027
hospitalizaciones,1,0.9491
casos_confirmados,3,0.5072
hospitalizaciones,3,0.9476
casos_confirmados,7,0.5107
hospitalizaciones,7,0.9435
casos_confirmados,10,0.5002
hospitalizaciones,10,0.9311
casos_confirmados,14,0.4789
hospitalizaciones,14,0.9075
casos_confirmados,21,0.4195
hospitalizaciones,21,0.8532
casos_confirmados,30,0.3327
hospitalizaciones,30,0.7744
defunciones_autocorrelacion,1,0.9609
defunciones_autocorrelacion,3,0.9587
defunciones_autocorrelacion,7,0.9551
defunciones_autocorrelacion,10,0.9422
defunciones_autocorrelacion,14,0.9195
defunciones_autocorrelacion,21,0.8656
defunciones_autocorrelacion,30,0.7859
