fecha_sintomas,casos_confirmados,hospitalizaciones,defunciones,dia_semana,mes,anio,t
2020-02-19,1,0,0,2,2,2020,1
2020-02-20,0,0,0,3,2,2020,2
2020-02-21,0,0,0,4,2,2020,3
2020-02-22,2,1,0,5,2,2020,4
2020-02-23,1,0,0,6,2,2020,5
2020-02-24,0,0,0,0,2,2020,6
2020-02-25,1,0,0,1,2,2020,7
2020-02-26,1,1,1,2,2,2020,8
2020-02-27,2,0,0,3,2,2020,9
2020-02-28,3,1,0,4,2,2020,10
2020-02-29,5,1,1,5,2,2020,11
2020-03-01,11,3,1,6,3,2020,12
2020-03-02,19,2,2,0,3,2020,13
2020-03-03,19,5,2,1,3,2020,14
2020-03-04,15,4,3,2,3,2020,15
2020-03-05,12,0,0,3,3,2020,16
2020-03-06,16,4,3,4,3,2020,17
2020-03-07,21,3,0,5,3,2020,18
2020-03-08,29,2,2,6,3,2020,19
2020-03-09,69,11,2,0,3,2020,20
2020-03-10,60,5,1,1,3,2020,21
2020-03-11,64,8,0,2,3,2020,22
2020-03-12,94,35,1,3,3,2020,23
2020-03-13,112,26,7,4,3,2020,24
2020-03-14,106,27,6,5,3,2020,25
2020-03-15,119,29,12,6,3,2020,26
2020-03-16,147,33,16,0,3,2020,27
2020-03-17,148,55,13,1,3,2020,28
2020-03-18,154,51,13,2,3,2020,29
2020-03-19,138,62,17,3,3,2020,30
2020-03-20,227,94,34,4,3,2020,31
2020-03-21,158,70,27,5,3,2020,32
2020-03-22,180,74,28,6,3,2020,33
2020-03-23,263,118,44,0,3,2020,34
2020-03-24,209,79,35,1,3,2020,35
2020-03-25,251,104,45,2,3,2020,36
2020-03-26,298,140,54,3,3,2020,37
2020-03-27,321,128,51,4,3,2020,38
2020-03-28,311,119,58,5,3,2020,39
2020-03-29,303,137,65,6,3,2020,40
2020-03-30,427,192,80,0,3,2020,41
2020-03-31,338,155,76,1,3,2020,42
2020-04-01,543,259,113,2,4,2020,43
2020-04-02,484,242,112,3,4,2020,44
2020-04-03,499,237,120,4,4,2020,45
2020-04-04,493,213,105,5,4,2020,46
2020-04-05,489,206,99,6,4,2020,47
2020-04-06,657,304,142,0,4,2020,48
2020-04-07,567,265,137,1,4,2020,49
2020-04-08,710,363,189,2,4,2020,50
2020-04-09,705,302,159,3,4,2020,51
2020-04-10,1077,520,247,4,4,2020,52
2020-04-11,808,352,170,5,4,2020,53
2020-04-12,872,423,220,6,4,2020,54
2020-04-13,1072,481,263,0,4,2020,55
2020-04-14,1020,462,238,1,4,2020,56
2020-04-15,1191,581,303,2,4,2020,57
2020-04-16,1165,562,293,3,4,2020,58
2020-04-17,1342,603,343,4,4,2020,59
2020-04-18,1410,680,366,5,4,2020,60
2020-04-19,1259,606,318,6,4,2020,61
2020-04-20,2079,948,508,0,4,2020,62
2020-04-21,1372,645,336,1,4,2020,63
2020-04-22,1436,668,358,2,4,2020,64
2020-04-23,1473,698,377,3,4,2020,65
2020-04-24,1751,785,464,4,4,2020,66
2020-04-25,1817,857,448,5,4,2020,67
2020-04-26,1624,737,422,6,4,2020,68
2020-04-27,1985,875,501,0,4,2020,69
2020-04-28,1742,783,422,1,4,2020,70
2020-04-29,1570,679,382,2,4,2020,71
2020-04-30,2145,919,503,3,4,2020,72
2020-05-01,2997,1259,761,4,5,2020,73
2020-05-02,2102,813,458,5,5,2020,74
2020-05-03,1992,799,433,6,5,2020,75
2020-05-04,2517,963,542,0,5,2020,76
2020-05-05,2558,1046,614,1,5,2020,77
2020-05-06,2285,936,521,2,5,2020,78
2020-05-07,2507,948,526,3,5,2020,79
2020-05-08,2915,1149,620,4,5,2020,80
2020-05-09,2598,966,533,5,5,2020,81
2020-05-10,3510,1482,846,6,5,2020,82
2020-05-11,3218,1184,654,0,5,2020,83
2020-05-12,2922,1020,547,1,5,2020,84
2020-05-13,2840,996,543,2,5,2020,85
2020-05-14,2879,1059,566,3,5,2020,86
2020-05-15,4230,1395,732,4,5,2020,87
2020-05-16,3142,1049,545,5,5,2020,88
2020-05-17,3060,1068,576,6,5,2020,89
2020-05-18,4412,1403,746,0,5,2020,90
2020-05-19,3418,1168,614,1,5,2020,91
2020-05-20,4698,1604,827,2,5,2020,92
2020-05-21,3216,1060,552,3,5,2020,93
2020-05-22,4027,1280,661,4,5,2020,94
2020-05-23,3708,1220,626,5,5,2020,95
2020-05-24,3483,1174,627,6,5,2020,96
2020-05-25,5245,1641,841,0,5,2020,97
2020-05-26,3848,1232,633,1,5,2020,98
2020-05-27,3682,1201,621,2,5,2020,99
2020-05-28,4195,1296,683,3,5,2020,100
2020-05-29,4216,1255,622,4,5,2020,101
2020-05-30,4066,1243,612,5,5,2020,102
