modelo,robusto,variable,coeficiente,error_std,p_value,ci_95_inf,ci_95_sup
OLS dummies temporales,False,const,-31.34511,3.903815,0.0,-39.000539,-23.689682
OLS dummies temporales,False,casos_confirmados,-0.006411,0.000125,0.0,-0.006656,-0.006165
OLS dummies temporales,False,hospitalizaciones,0.579331,0.002088,0.0,0.575236,0.583427
OLS dummies temporales,False,dow_1,-0.536173,2.05867,0.794543,-4.573249,3.500902
OLS dummies temporales,False,dow_2,0.395601,2.058228,0.847599,-3.640609,4.431811
OLS dummies temporales,False,dow_3,0.332987,2.059246,0.871554,-3.70522,4.371194
OLS dummies temporales,False,dow_4,0.560058,2.05991,0.785735,-3.47945,4.599567
OLS dummies temporales,False,dow_5,0.303636,2.060901,0.882883,-3.737814,4.345087
OLS dummies temporales,False,dow_6,1.849023,2.05952,0.369391,-2.189721,5.887767
OLS dummies temporales,False,mes_2,-15.97354,2.878662,0.0,-21.61863,-10.32845
OLS dummies temporales,False,mes_3,-12.733068,2.877099,1e-05,-18.375094,-7.091043
OLS dummies temporales,False,mes_4,-10.899662,2.893923,0.00017,-16.57468,-5.224643
OLS dummies temporales,False,mes_5,-10.789969,2.857408,0.000163,-16.39338,-5.186559
OLS dummies temporales,False,mes_6,-24.750016,2.922786,0.0,-30.481634,-19.018398
OLS dummies temporales,False,mes_7,-38.237188,2.805167,0.0,-43.738154,-32.736222
OLS dummies temporales,False,mes_8,-32.032484,2.853832,0.0,-37.628882,-26.436085
OLS dummies temporales,False,mes_9,-20.632058,2.960175,0.0,-26.436997,-14.82712
OLS dummies temporales,False,mes_10,-10.730852,2.979162,0.000323,-16.573024,-4.888679
OLS dummies temporales,False,mes_11,-5.660848,2.989176,0.058381,-11.522657,0.200961
OLS dummies temporales,False,mes_12,3.497239,2.908929,0.229395,-2.207205,9.201683
OLS dummies temporales,False,anio_2021,5.382677,2.129853,0.011563,1.206011,9.559344
OLS dummies temporales,False,anio_2022,27.792449,2.826764,0.0,22.249131,33.335767
OLS dummies temporales,False,anio_2023,32.027696,2.761521,0.0,26.61232,37.443072
OLS dummies temporales,False,anio_2024,40.153168,2.780345,0.0,34.700878,45.605458
OLS dummies temporales,False,anio_2025,41.936262,2.787679,0.0,36.469591,47.402933
OLS dummies temporales,False,anio_2026,40.095802,3.354641,0.0,33.517312,46.674293
OLS dummies temporales,True,const,-31.34511,15.369008,0.041516,-61.483918,-1.206302
OLS dummies temporales,True,casos_confirmados,-0.006411,0.000691,0.0,-0.007765,-0.005056
OLS dummies temporales,True,hospitalizaciones,0.579331,0.01805,0.0,0.543934,0.614728
OLS dummies temporales,True,dow_1,-0.536173,1.148524,0.640662,-2.788442,1.716096
OLS dummies temporales,True,dow_2,0.395601,1.014526,0.69662,-1.593896,2.385098
OLS dummies temporales,True,dow_3,0.332987,1.233581,0.787235,-2.08608,2.752055
OLS dummies temporales,True,dow_4,0.560058,1.071831,0.601356,-1.541815,2.661931
OLS dummies temporales,True,dow_5,0.303636,1.226602,0.804511,-2.101744,2.709017
OLS dummies temporales,True,dow_6,1.849023,1.073468,0.08512,-0.256061,3.954107
OLS dummies temporales,True,mes_2,-15.97354,10.163297,0.116162,-35.903886,3.956806
OLS dummies temporales,True,mes_3,-12.733068,8.927174,0.153912,-30.239363,4.773226
OLS dummies temporales,True,mes_4,-10.899662,9.238375,0.238194,-29.016224,7.216901
OLS dummies temporales,True,mes_5,-10.789969,9.575588,0.259938,-29.567811,7.987873
OLS dummies temporales,True,mes_6,-24.750016,11.911558,0.037839,-48.108722,-1.39131
OLS dummies temporales,True,mes_7,-38.237188,12.754019,0.002747,-63.247971,-13.226405
OLS dummies temporales,True,mes_8,-32.032484,12.314237,0.009349,-56.18085,-7.884118
OLS dummies temporales,True,mes_9,-20.632058,10.419353,0.047806,-41.064534,-0.199583
OLS dummies temporales,True,mes_10,-10.730852,9.696752,0.268565,-29.746298,8.284595
OLS dummies temporales,True,mes_11,-5.660848,9.720505,0.560381,-24.722874,13.401178
OLS dummies temporales,True,mes_12,3.497239,13.210656,0.791243,-22.409015,29.403494
OLS dummies temporales,True,anio_2021,5.382677,11.521847,0.640422,-17.211802,27.977156
OLS dummies temporales,True,anio_2022,27.792449,16.025011,0.082998,-3.632789,59.217687
OLS dummies temporales,True,anio_2023,32.027696,15.277271,0.036155,2.068785,61.986607
OLS dummies temporales,True,anio_2024,40.153168,15.275242,0.008631,10.198238,70.108099
OLS dummies temporales,True,anio_2025,41.936262,15.401957,0.006523,11.732841,72.139683
OLS dummies temporales,True,anio_2026,40.095802,15.05625,0.007798,10.570318,69.621287
