modelo,robusto,variable,coeficiente,error_std,p_value,ci_95_inf,ci_95_sup
Rezagos casos,False,const,71.397682,5.583392,0.0,60.448604,82.34676
Rezagos casos,False,casos_confirmados_lag_1,0.015962,0.002248,0.0,0.011553,0.020371
Rezagos casos,False,casos_confirmados_lag_7,-0.005719,0.003678,0.120094,-0.012931,0.001493
Rezagos casos,False,casos_confirmados_lag_14,0.012226,0.002155,0.0,0.008,0.016453
Rezagos casos,True,const,71.397682,15.338255,3e-06,41.319239,101.476125
Rezagos casos,True,casos_confirmados_lag_1,0.015962,0.00924,0.084194,-0.002156,0.034081
Rezagos casos,True,casos_confirmados_lag_7,-0.005719,0.013061,0.661519,-0.031331,0.019893
Rezagos casos,True,casos_confirmados_lag_14,0.012226,0.00927,0.187343,-0.005953,0.030405
Rezagos hospitalizaciones,False,const,-14.720441,1.943007,0.0,-18.530695,-10.910188
Rezagos hospitalizaciones,False,hospitalizaciones_lag_1,0.27568,0.009865,0.0,0.256335,0.295024
Rezagos hospitalizaciones,False,hospitalizaciones_lag_7,0.207549,0.013356,0.0,0.181358,0.23374
Rezagos hospitalizaciones,False,hospitalizaciones_lag_14,0.01405,0.010335,0.174112,-0.006216,0.034317
Rezagos hospitalizaciones,True,const,-14.720441,3.013883,1e-06,-20.630691,-8.810192
Rezagos hospitalizaciones,True,hospitalizaciones_lag_1,0.27568,0.031108,0.0,0.214676,0.336683
Rezagos hospitalizaciones,True,hospitalizaciones_lag_7,0.207549,0.023888,0.0,0.160704,0.254394
Rezagos hospitalizaciones,True,hospitalizaciones_lag_14,0.01405,0.030782,0.648113,-0.046314,0.074415
Rezagos combinados,False,const,-9.335826,1.795595,0.0,-12.857005,-5.814646
Rezagos combinados,False,casos_confirmados_lag_1,-0.003666,0.000806,6e-06,-0.005246,-0.002086
Rezagos combinados,False,casos_confirmados_lag_7,0.004867,0.00132,0.000233,0.002278,0.007456
Rezagos combinados,False,casos_confirmados_lag_14,-0.007599,0.000806,0.0,-0.009179,-0.006019
Rezagos combinados,False,hospitalizaciones_lag_1,0.287299,0.010792,0.0,0.266136,0.308462
Rezagos combinados,False,hospitalizaciones_lag_7,0.208536,0.014144,0.0,0.180798,0.236273
Rezagos combinados,False,hospitalizaciones_lag_14,0.051493,0.011639,1e-05,0.028668,0.074318
Rezagos combinados,True,const,-9.335826,2.114637,1.1e-05,-13.48265,-5.189002
Rezagos combinados,True,casos_confirmados_lag_1,-0.003666,0.00104,0.000431,-0.005705,-0.001627
Rezagos combinados,True,casos_confirmados_lag_7,0.004867,0.002244,0.030174,0.000467,0.009267
Rezagos combinados,True,casos_confirmados_lag_14,-0.007599,0.001418,0.0,-0.01038,-0.004818
Rezagos combinados,True,hospitalizaciones_lag_1,0.287299,0.027287,0.0,0.233789,0.340808
Rezagos combinados,True,hospitalizaciones_lag_7,0.208536,0.024134,0.0,0.16121,0.255862
Rezagos combinados,True,hospitalizaciones_lag_14,0.051493,0.030306,0.089441,-0.007938,0.110925
