modelo,robusto,variable,coeficiente,error_std,p_value,ci_95_inf,ci_95_sup
Ajuste parcial,False,const,2.25748,1.720286,0.189562,-1.116017,5.630977
Ajuste parcial,False,defunciones_lag_1,0.995192,0.045946,0.0,0.905092,1.085292
Ajuste parcial,False,casos_confirmados_lag_1,0.001585,0.000773,0.040356,7e-05,0.0031
Ajuste parcial,False,casos_confirmados_lag_7,0.004855,0.001202,5.5e-05,0.002498,0.007212
Ajuste parcial,False,casos_confirmados_lag_14,-0.006306,0.000736,0.0,-0.00775,-0.004863
Ajuste parcial,False,hospitalizaciones_lag_1,-0.267697,0.027442,0.0,-0.321512,-0.213883
Ajuste parcial,False,hospitalizaciones_lag_7,0.19826,0.012887,0.0,0.172988,0.223532
Ajuste parcial,False,hospitalizaciones_lag_14,0.063308,0.010612,0.0,0.042498,0.084118
Ajuste parcial,True,const,2.25748,1.380059,0.102023,-0.448829,4.96379
Ajuste parcial,True,defunciones_lag_1,0.995192,0.149362,0.0,0.702291,1.288093
Ajuste parcial,True,casos_confirmados_lag_1,0.001585,0.001432,0.268529,-0.001223,0.004393
Ajuste parcial,True,casos_confirmados_lag_7,0.004855,0.001528,0.00151,0.001858,0.007853
Ajuste parcial,True,casos_confirmados_lag_14,-0.006306,0.001059,0.0,-0.008383,-0.00423
Ajuste parcial,True,hospitalizaciones_lag_1,-0.267697,0.090566,0.00315,-0.445297,-0.090097
Ajuste parcial,True,hospitalizaciones_lag_7,0.19826,0.026333,0.0,0.14662,0.2499
Ajuste parcial,True,hospitalizaciones_lag_14,0.063308,0.02848,0.026322,0.007458,0.119159
