fecha,pronostico_defunciones
2026-05-29,2.317527
2026-05-30,2.511905
2026-05-31,2.832575
2026-06-01,3.266993
2026-06-02,3.803711
2026-06-03,4.432289
2026-06-04,5.143205
2026-06-05,5.927774
2026-06-06,6.778078
2026-06-07,7.686901
2026-06-08,8.647665
2026-06-09,9.654376
2026-06-10,10.701576
2026-06-11,11.784293
2026-06-12,12.898001
2026-06-13,14.038579
2026-06-14,15.202282
2026-06-15,16.3857
2026-06-16,17.585736
2026-06-17,18.799575
2026-06-18,20.024659
2026-06-19,21.25867
2026-06-20,22.499502
2026-06-21,23.745248
2026-06-22,24.994179
2026-06-23,26.244731
2026-06-24,27.49549
2026-06-25,28.745179
2026-06-26,29.992645
2026-06-27,31.236847
